,Ad_ID,Number_of_rooms,Metro,Address,Area_m2,Price,Repair,Windows,Children/pets_allowed,Floor flat,Design,Number of storeys in the house,Bathroom_separated,Bathroom_combined,Balcon,Loggia,pass_elevator,fr_elevator
13057,255704247,2,м. Новопеределкино ,"Москва, Лукинская улица, 1, ш. Боровское (7 км до МКАД), ш. Киевское (9 км до МКАД)",60.0,45000.0,1,0,3,12,2,17,1,0,1,0,1,0
13058,273618420,2,м. Боровское шоссе ,"Москва, улица 7-я Лазенки, 22, ш. Боровское (9 км до МКАД), ш. Минское (9 км до МКАД)",60.0,45000.0,1,0,3,3,3,3,0,1,1,0,1,0
13059,216761361,2,м. Новопеределкино ,"Москва, улица Скульптора Мухиной, 7К3, ш. Боровское (7 км до МКАД), ш. Киевское (9 км до МКАД)",54.0,50000.0,2,2,2,11,2,14,1,0,1,0,1,0
13060,272048295,2,м. Новопеределкино ,"Москва, Новопеределкинская улица, 7, ш. Боровское (6 км до МКАД), ш. Киевское (7 км до МКАД)",54.0,53000.0,2,2,0,8,2,14,0,1,1,0,1,0
13061,274933012,1,м. Новопеределкино ,"Москва, Чоботовская улица, 13, ш. Боровское (7 км до МКАД), ш. Киевское (8 км до МКАД)",39.2,30000.0,0,0,3,1,2,14,0,1,1,0,1,0
13062,273409281,2,м. Солнцево ,"Москва, улица 6-я Лазенки, 4, ш. Боровское (11 км до МКАД), ш. Можайское (11 км до МКАД)",44.0,38000.0,2,0,2,1,3,4,0,1,1,0,1,0
13063,274181692,1,м. Новокосино ,"Москва, Новокосинская улица, 37, ш. Носовихинское (2 км до МКАД)",38.0,40000.0,2,0,3,17,2,17,0,1,1,0,1,0
13064,273812789,2,м. Новокосино ,"Москва, Новокосинская улица, 9К1, ш. Носовихинское (4 км до МКАД)",65.0,42000.0,1,2,2,10,4,14,1,0,1,0,1,0
13065,273921212,1,м. Новокосино ,"Москва, Салтыковская улица, 7К1, ш. Носовихинское (4 км до МКАД)",20.0,24000.0,2,0,3,5,4,9,0,1,1,0,1,0
13066,274880514,1,м. Новокосино ,"Москва, Суздальская улица, 10К2, ш. Носовихинское (4 км до МКАД)",35.0,35000.0,1,0,0,2,4,12,1,0,1,0,1,0
13067,274992412,1,м. Новокосино ,"Москва, Суздальская улица, 10К3, ш. Носовихинское (4 км до МКАД)",38.0,35000.0,2,0,0,1,4,14,0,1,1,0,1,0
13068,274776724,2,м. Новокосино ,"Москва, Суздальская улица, 42, ш. Носовихинское (3 км до МКАД)",55.0,40000.0,1,0,3,9,2,17,0,1,0,1,1,1
13069,274523373,3,м. Новокосино ,"Москва, Новокосинская улица, 47, ш. Носовихинское (3 км до МКАД)",78.0,42000.0,1,0,2,8,2,17,1,0,1,0,1,0
13070,269958927,3,м. Новокосино ,"Москва, Суздальская улица, 42К2, ш. Носовихинское (3 км до МКАД)",79.0,60000.0,0,2,0,11,2,17,1,0,1,1,1,0
13071,273640642,1,м. Новокосино ,"Москва, Новокосинская улица, 40, ш. Носовихинское (3 км до МКАД)",38.8,30000.0,1,0,2,8,2,17,0,1,0,1,1,1
13072,274757779,1,м. Новокосино ,"Москва, Суздальская улица, 10К2, ш. Носовихинское (4 км до МКАД)",31.0,30000.0,1,0,2,5,4,12,1,0,0,1,1,0
13073,274755653,1,м. Новокосино ,"Москва, Новокосинская улица, 37, ш. Носовихинское (2 км до МКАД)",37.0,30000.0,1,0,3,2,2,17,0,1,1,0,1,0
13074,273546128,1,м. Новокосино ,"Москва, Суздальская улица, 8К1, ш. Носовихинское (4 км до МКАД)",36.0,31000.0,0,0,2,7,2,12,1,0,1,0,1,0
13075,271893809,1,м. Новокосино ,"Москва, Суздальская улица, 8К1, ш. Носовихинское (4 км до МКАД)",36.0,31000.0,1,0,2,7,2,12,1,0,0,1,1,1
13076,274790190,1,м. Новокосино ,"Москва, Суздальская улица, 10К2, ш. Носовихинское (4 км до МКАД)",39.0,32000.0,2,0,3,10,4,12,1,0,1,1,1,1
13077,273901145,1,м. Новокосино ,"Москва, Новокосинская улица, 9К2, ш. Носовихинское (4 км до МКАД)",38.0,32000.0,1,0,0,11,4,14,0,1,1,0,1,0
13078,274096810,1,м. Новокосино ,"Москва, Новокосинская улица, 43, ш. Носовихинское (3 км до МКАД)",38.0,35000.0,0,0,0,8,2,17,0,1,1,0,1,1
13079,274985509,1,м. Новокосино ,"Москва, Новокосинская улица, 17К6, ш. Носовихинское (3 км до МКАД)",41.0,36000.0,0,0,3,6,2,14,0,1,0,1,1,1
13080,274690697,2,м. Новокосино ,"Москва, Салтыковская улица, 39, ш. Носовихинское (3 км до МКАД)",54.0,37000.0,1,0,3,6,0,17,1,0,1,0,1,1
13081,208435694,2,м. Новокосино ,"Москва, Городецкая улица, 9К1, ш. Носовихинское (3 км до МКАД)",52.0,37000.0,1,1,2,3,2,17,1,0,1,0,1,0
13082,271452927,2,м. Новокосино ,"Москва, Суздальская улица, 12К5, ш. Носовихинское (3 км до МКАД)",50.0,38000.0,1,0,3,10,2,15,0,1,1,0,1,1
13083,273956801,1,м. Новокосино ,"Москва, Салтыковская улица, 37К1, ш. Носовихинское (3 км до МКАД)",40.0,39000.0,2,0,2,11,2,14,0,1,0,1,1,0
13084,274711985,2,м. Новокосино ,"Москва, Новокосинская улица, 6К1, ш. Носовихинское (4 км до МКАД)",60.0,40000.0,1,0,2,6,4,7,1,0,0,1,1,0
13085,261003741,2,м. Новокосино ,"Москва, Новокосинская улица, 17К6, ш. Носовихинское (3 км до МКАД)",56.0,40000.0,1,0,0,5,4,14,1,0,1,0,1,0
13086,274587974,2,м. Новокосино ,"Москва, Суздальская улица, 18К3, ш. Носовихинское (3 км до МКАД)",52.0,40000.0,2,0,2,10,2,17,1,0,0,1,1,0
13087,274488894,2,м. Новокосино ,"Москва, Суздальская улица, 42К3, ш. Носовихинское (3 км до МКАД)",54.1,40000.0,1,0,2,17,2,17,1,0,1,0,1,0
13088,273850510,2,м. Новокосино ,"Москва, Городецкая улица, 10, ш. Носовихинское (3 км до МКАД)",59.0,41500.0,1,0,2,3,2,17,1,0,0,1,1,0
13089,274988788,2,м. Новокосино ,"Москва, улица Николая Старостина, 13, ш. Носовихинское (4 км до МКАД)",65.0,45000.0,2,0,2,2,4,7,1,0,0,1,1,0
13090,224633102,2,м. Новокосино ,"Москва, Суздальская улица, 26К1, ш. Носовихинское (2 км до МКАД)",52.4,45000.0,2,0,3,10,4,14,1,0,1,0,1,0
13091,273605463,2,м. Новокосино ,"Москва, Новокосинская улица, 8К2, ш. Носовихинское (4 км до МКАД)",57.0,48000.0,0,0,2,12,2,12,1,0,0,1,1,0
13092,273972150,2,м. Новокосино ,"Москва, Суздальская улица, 36К1, ш. Носовихинское (3 км до МКАД)",51.0,50000.0,0,0,3,9,2,14,1,0,1,0,1,1
13093,274500624,2,м. Новокосино ,"Москва, Суздальская улица, 36К1, ш. Носовихинское (3 км до МКАД)",51.0,50000.0,1,0,0,9,2,14,1,0,1,0,1,0
13094,274899857,3,м. Новокосино ,"Москва, Суздальская улица, 20К6, ш. Носовихинское (3 км до МКАД)",74.0,57000.0,2,0,3,14,4,14,1,0,0,1,1,0
